picorv32_mutCY_nomem-p8.aig Timeout
shift_register_top_w64_d8_e0.aig 219.09
vgasim_imgfifo-p058.aig 3.31
Problem19_label14.aig Failed
arbitrated_top_n4_w64_d128_e0.aig Timeout
picorv32_mutBX_nomem-p8.aig Timeout
freire1_valuebound1.aig 162.10
arbitrated_top_n3_w16_d16_e0.aig 102.29
yosyshq_appnote_123_cv32e40x-p607.aig Timeout
arbitrated_top_n5_w64_d8_e0.aig 49.05
mcs.3.prop1-back-serstep.aig Timeout
zipcpu-busdelay-p02.aig 16.82
pc_sfifo_2.cil-1+token_ring.13.cil-1.aig 14.61
vgasim_imgfifo-p051.aig Timeout
cal163.aig 1.39
zipcpu-busdelay-p36.aig 9.46
yosyshq_appnote_123_cv32e40x-p665.aig 18.28
qspiflash_dualflexpress_divfive-p018.aig 0.12
qspiflash_dualflexpress_divfive-p058.aig 1.25
miim.aig 0.72
cal129.aig 79.98
collision.6.prop1-func-interl.aig 378.41
yosyshq_appnote_123_cv32e40x-p315.aig 32.43
a16-p102.aig 635.65
ILA_Ridecore_AND_sanity.aig Timeout
arbitrated_top_n4_w16_d32_e0.aig 3483.77
ILA_Ridecore_SRLI_problem.aig Timeout
93.c.aig 50.37
circular_pointer_top_w32_d16_e0.aig 695.61
qspiflash_dualflexpress_divfive-p004.aig 798.67
dijkstra-u_valuebound1.aig 329.39
yosyshq_appnote_123_cv32e40x-p660.aig Timeout
cal84.aig 73.52
qspiflash_dualflexpress_divthree-p132.aig 0.13
qspiflash_dualflexpress_divfive-p082.aig 147.62
qspiflash_dualflexpress_divfive-p142.aig 0.13
qspiflash_qflexpress_divfive-p067.aig 72.68
picorv32_mutBX_nomem-p7.aig Timeout
a10-p04.aig 2.43
zipcpu-busdelay-p46.aig 23.01
circular_pointer_top_w8_d32_e0.aig 1030.22
Problem06_label40.aig Timeout
pals_opt-floodmax.4.3.ufo.UNBOUNDED.pals.aig 678.54
Problem10_label08.aig 25.23
yosyshq_appnote_123_cv32e40x-p281.aig 225.83
rocket_1951.aig 902.48
pc_sfifo_3.cil+token_ring.08.cil-2.aig 8.02
qspiflash_dualflexpress_divfive-p136.aig 37.16
dspfilters_fastfir_second-p25.aig 2719.84
zipcpu-pfcache-p16.aig 7.07
picorv32_mutAY_nomem-p4.aig Timeout
qspiflash_dualflexpress_divfive-p012.aig 21.55
benchmark04_conjunctive.aig Timeout
cal21.aig 35.63
qspiflash_qflexpress_divfive-p057.aig 0.12
dspfilters_fastfir_second-p06.aig Timeout
zipcpu-busdelay-p45.aig 1.38
zipcpu-zipmmu-p31.aig Timeout
circular_pointer_top_w8_d64_e0.aig Timeout
arbitrated_top_n5_w8_d32_e0.aig 1944.10
vcegar_arrays_itc99_b12_p2.aig Timeout
cal107.aig 1686.32
cal93.aig 1084.74
arbitrated_top_n2_w64_d128_e0.aig Timeout
qspiflash_dualflexpress_divfive-p161.aig 2435.18
yosyshq_appnote_123_veer_axi-p31.aig 34.58
cal192.aig Timeout
qspiflash_dualflexpress_divfive-p050.aig 6.27
shift_register_top_w16_d32_e0.aig 242.89
gauss_sum.i.p+lhb-reducer.aig Timeout
yosyshq_appnote_123_veer_axi-p74.aig Timeout
cal2.aig Timeout
brp.2.prop1-func-interl.aig 1.72
yosyshq_appnote_123_cv32e40x-p250.aig 18.73
analog_estimation_convergence_unsafe.aig 0.06
brp2.6.prop3-back-serstep.aig Timeout
shift_register_top_w64_d128_e0.aig Timeout
a16-p152.aig 0.27
qspiflash_dualflexpress_divfive-p070.aig 1477.76
qspiflash_qflexpress_divfive-p107.aig 17.62
qspiflash_dualflexpress_divthree-p050.aig 6.16
cal210.aig Timeout
arbitrated_top_n4_w32_d16_e0.aig 276.66
a10-p06.aig 2.51
cal201.aig Timeout
yosyshq_appnote_123_veer_axi-p39.aig Timeout
yosyshq_appnote_123_veer_axi-p06.aig Timeout
arbitrated_top_n5_w128_d128_e0.aig Timeout
